ID,Date,FuelType,UnitSP,UnitNet,UnitCP,UnitProfit,QtySold,ValSold,Net,Profit
142,12.03.2016,Diesel,105.9,86.1,81.6,4.5,9423,9978,8113,423.65
143,13.03.2016,Unleaded,119.9,97.5,91.5,6.0,6108,7323,5954,364.17
144,13.03.2016,Diesel,105.9,86.1,81.6,4.5,7264,7693,6254,326.65
145,14.03.2016,Unleaded,119.9,97.5,93.4,4.1,5483,6574,5345,225.46
146,14.03.2016,Diesel,105.9,86.1,82.9,3.2,9584,10150,8252,307.30
147,15.03.2016,Unleaded,119.9,97.5,93.4,4.1,5381,6452,5245,221.29
148,15.03.2016,Diesel,105.9,86.1,82.9,3.2,10011,10602,8619,321.04
149,16.03.2016,Unleaded,119.9,97.5,93.4,4.1,6449,7733,6287,265.24
150,16.03.2016,Diesel,105.9,86.1,82.9,3.2,12159,12876,10468,389.95
151,17.03.2016,Unleaded,119.9,97.5,95.2,2.3,4790,5743,4669,108.85
152,17.03.2016,Diesel,105.9,86.1,83.7,2.4,7841,8304,6751,188.65
153,18.03.2016,Unleaded,119.9,97.5,95.2,2.3,7574,9081,7383,172.13
154,18.03.2016,Diesel,105.9,86.1,83.7,2.4,11176,11835,9622,268.94
155,19.03.2016,Unleaded,119.9,97.5,91.5,6.0,7325,8783,7141,436.78
156,19.03.2016,Diesel,105.9,86.1,81.6,4.5,10757,11391,9261,483.71
157,20.03.2016,Unleaded,119.9,97.5,91.5,6.0,6471,7759,6308,385.81
158,20.03.2016,Diesel,105.9,86.1,81.6,4.5,9870,10452,8497,443.77
159,21.03.2016,Unleaded,120.6,98.0,94.5,3.6,6055,7301,5936,215.30
160,21.03.2016,Diesel,106.6,86.7,82.8,3.9,11141,11879,9658,435.60
161,22.03.2016,Unleaded,121.9,99.1,95.1,4.0,5572,6792,5522,220.84
162,22.03.2016,Diesel,107.9,87.7,83.6,4.1,8415,9080,7382,344.24
163,23.03.2016,Unleaded,121.9,99.1,93.7,5.4,5738,6995,5687,309.53
164,23.03.2016,Diesel,107.9,87.7,83.6,4.1,9348,10086,8200,382.33
165,24.03.2016,Unleaded,121.9,99.1,93.7,5.4,6562,7999,6503,353.92
166,24.03.2016,Diesel,107.9,87.7,83.6,4.1,11507,12415,10094,470.79
167,25.03.2016,Unleaded,121.9,99.1,93.7,5.4,7174,8745,7109,386.91
168,25.03.2016,Diesel,107.9,87.7,83.6,4.1,11564,12477,10144,473.01
169,26.03.2016,Unleaded,121.9,99.1,93.7,5.4,6329,7715,6272,341.33
170,26.03.2016,Diesel,107.9,87.7,83.6,4.1,8483,9153,7441,346.97
171,27.03.2016,Unleaded,121.9,99.1,97.5,1.6,3440,4193,3409,56.79
172,27.03.2016,Diesel,107.9,87.7,83.0,4.7,5583,6024,4898,263.61
173,28.03.2016,Unleaded,121.9,99.1,97.5,1.6,5392,6573,5344,89.19
174,28.03.2016,Diesel,107.9,87.7,83.0,4.7,8144,8787,7144,384.40
175,29.03.2016,Unleaded,123.8,100.6,97.5,3.2,4926,6098,4957,157.07
176,29.03.2016,Diesel,107.9,87.7,83.0,4.7,9903,10685,8687,467.49
177,30.03.2016,Unleaded,125.9,102.4,97.5,4.9,5107,6429,5227,250.42
178,30.03.2016,Diesel,107.9,87.7,83.0,4.7,9678,10443,8490,456.86
179,31.03.2016,Unleaded,125.9,102.4,97.5,4.9,6205,7812,6351,304.27
180,31.03.2016,Diesel,107.9,87.7,83.0,4.7,11600,12516,10176,547.68
181,01.04.2016,Unleaded,125.9,102.4,98.4,3.9,5329,6709,5454,210.17
182,01.04.2016,Diesel,107.9,87.7,81.8,6.0,11640,12559,10210,695.03
183,02.04.2016,Unleaded,125.9,102.4,98.4,3.9,4780,6018,4892,188.45
184,02.04.2016,Diesel,107.9,87.7,81.8,6.0,9799,10573,8596,585.13
185,03.04.2016,Unleaded,125.9,102.4,98.4,3.9,4884,6149,4999,192.60
186,03.04.2016,Diesel,107.9,87.7,81.8,6.0,7682,8289,6739,458.71
187,04.04.2016,Unleaded,125.9,102.4,98.4,3.9,4422,5567,4526,174.40
188,04.04.2016,Diesel,107.9,87.7,81.8,6.0,10067,10862,8831,601.08
189,05.04.2016,Unleaded,125.9,102.4,98.4,3.9,5381,6775,5508,212.21
190,05.04.2016,Diesel,107.9,87.7,81.8,6.0,10916,11778,9576,651.85
191,06.04.2016,Unleaded,125.9,102.4,98.2,4.2,5058,6367,5177,210.59
192,06.04.2016,Diesel,107.9,87.7,82.3,5.5,10349,11167,9079,566.25
193,07.04.2016,Unleaded,125.9,102.4,98.2,4.2,5677,7147,5811,236.31
194,07.04.2016,Diesel,107.9,87.7,82.3,5.5,13038,14068,11437,713.35
195,08.04.2016,Unleaded,125.9,102.4,97.5,4.9,5878,7401,6017,288.31
196,08.04.2016,Diesel,107.9,87.7,80.3,7.4,11781,12712,10335,876.62
197,09.04.2016,Unleaded,125.9,102.4,97.5,4.9,5045,6351,5164,247.39
198,09.04.2016,Diesel,107.9,87.7,80.5,7.2,10133,10933,8888,733.77
199,10.04.2016,Unleaded,125.9,102.4,97.5,4.9,4765,5999,4878,233.66
200,10.04.2016,Diesel,107.9,87.7,80.5,7.2,9189,9915,8061,665.43
201,11.04.2016,Unleaded,125.9,102.4,97.5,4.9,5099,6419,5219,250.06
202,11.04.2016,Diesel,107.9,87.7,80.5,7.2,10478,11306,9192,758.73
203,12.04.2016,Unleaded,125.9,102.4,97.5,4.9,3919,4933,4011,192.16
204,12.04.2016,Diesel,107.9,87.7,80.5,7.2,10609,11446,9306,768.11
205,13.04.2016,Unleaded,125.9,102.4,97.5,4.9,4366,5496,4469,214.11
206,13.04.2016,Diesel,107.9,87.7,80.5,7.2,10995,11863,9645,796.12
207,14.04.2016,Unleaded,125.9,102.4,96.8,5.6,5772,7267,5908,321.83
208,14.04.2016,Diesel,107.9,87.7,80.5,7.2,12027,12977,10551,870.89
209,15.04.2016,Unleaded,125.9,102.4,96.8,5.6,5926,7461,6066,330.27
210,15.04.2016,Diesel,107.9,87.7,80.5,7.2,13353,14408,11714,966.96
211,16.04.2016,Unleaded,125.9,102.4,99.0,3.3,5493,6915,5622,183.64
212,16.04.2016,Diesel,107.9,87.7,82.9,4.8,10874,11732,9539,525.28
213,17.04.2016,Unleaded,125.9,102.4,99.0,3.3,5018,6318,5136,167.80
214,17.04.2016,Diesel,107.9,87.7,82.9,4.8,9604,10362,8424,464.01
215,18.04.2016,Unleaded,125.9,102.4,99.0,3.4,4473,5631,4578,149.63
216,18.04.2016,Diesel,107.9,87.7,82.9,4.8,10029,10821,8798,484.55
217,19.04.2016,Unleaded,125.9,102.4,99.0,3.3,4881,6145,4996,163.26
218,19.04.2016,Diesel,107.9,87.7,82.9,4.8,10279,11091,9017,496.53
219,20.04.2016,Unleaded,125.9,102.4,99.5,2.8,4782,6020,4895,135.97
220,20.04.2016,Diesel,107.9,87.7,84.2,3.6,10521,11352,9229,375.62
221,21.04.2016,Unleaded,125.9,102.4,99.5,2.8,5992,7544,6133,170.37
222,21.04.2016,Diesel,107.9,87.7,84.2,3.6,12605,13600,11057,450.11
223,22.04.2016,Unleaded,125.9,102.4,99.5,2.8,6178,7778,6324,175.63
224,22.04.2016,Diesel,107.9,87.7,84.2,3.6,15037,16225,13191,537.06
225,23.04.2016,Unleaded,125.9,102.4,98.2,4.2,6395,8051,6545,268.74
226,23.04.2016,Diesel,107.9,87.7,83.8,4.0,13165,14205,11548,521.52
227,24.04.2016,Unleaded,125.9,102.4,98.2,4.2,5812,7317,5949,244.35
228,24.04.2016,Diesel,109.6,89.1,83.8,5.3,10250,11234,9133,547.84
229,25.04.2016,Unleaded,125.9,102.4,98.2,4.2,5100,6420,5220,214.41
230,25.04.2016,Diesel,110.9,90.2,83.8,6.4,10912,12102,9839,698.73
231,26.04.2016,Unleaded,125.9,102.4,98.2,4.2,5043,6349,5161,211.92
232,26.04.2016,Diesel,110.9,90.2,83.8,6.4,9413,10439,8487,602.74
233,27.04.2016,Unleaded,125.9,102.4,98.6,3.8,5373,6764,5500,202.17
234,27.04.2016,Diesel,110.9,90.2,84.9,5.3,11073,12280,9984,587.33
235,28.04.2016,Unleaded,125.9,102.4,98.2,4.2,6166,7763,6312,259.25
236,28.04.2016,Diesel,110.9,90.2,83.8,6.4,12354,13701,11139,791.01
237,30.04.2016,Unleaded,125.9,102.4,98.6,3.8,13433,16912,13750,505.65
238,30.04.2016,Diesel,110.9,90.2,84.9,5.3,23987,26602,21628,1272.14
239,01.05.2016,Unleaded,125.9,102.4,98.6,3.8,5197,6542,5319,195.60
240,01.05.2016,Diesel,110.9,90.2,84.9,5.3,8278,9180,7463,438.99
241,02.05.2016,Unleaded,125.9,102.4,98.6,3.8,5932,7468,6072,223.31
242,02.05.2016,Diesel,110.9,90.2,84.9,5.3,9795,10863,8832,519.48
243,03.05.2016,Unleaded,125.9,102.4,98.6,3.8,5881,7404,6020,221.39
244,03.05.2016,Diesel,110.9,90.2,84.9,5.3,11339,12575,10223,601.34
245,04.05.2016,Unleaded,125.9,102.4,100.3,2.1,5750,7239,5885,120.82
246,04.05.2016,Diesel,110.9,90.2,85.4,4.7,11682,12956,10533,552.92
247,05.05.2016,Unleaded,125.9,102.4,100.3,2.1,6391,8046,6541,134.46
248,05.05.2016,Diesel,110.9,90.2,85.4,4.7,10704,11871,9651,506.68
249,06.05.2016,Unleaded,125.9,102.4,100.1,2.3,7082,8915,7248,161.71
250,06.05.2016,Diesel,110.9,90.2,86.3,3.9,12544,13911,11310,489.68
251,07.05.2016,Unleaded,125.9,102.4,100.1,2.3,6285,7913,6433,143.58
252,07.05.2016,Diesel,110.9,90.2,86.3,3.9,10031,11124,9044,391.54
253,08.05.2016,Unleaded,125.9,102.4,98.7,3.7,5631,7089,5763,206.27
254,08.05.2016,Diesel,110.9,90.2,85.1,5.1,8941,9916,8061,456.35
255,09.05.2016,Unleaded,125.9,102.4,98.7,3.7,5381,6774,5507,197.15
256,09.05.2016,Diesel,110.9,90.2,85.1,5.1,11089,12298,9998,565.86
257,10.05.2016,Unleaded,125.9,102.4,98.7,3.7,5815,7321,5952,213.11
258,10.05.2016,Diesel,110.9,90.2,85.1,5.1,11152,12367,10055,569.08
259,11.05.2016,Unleaded,125.9,102.4,98.7,3.7,6201,7806,6347,227.26
260,11.05.2016,Diesel,110.9,90.2,85.1,5.1,12375,13725,11158,631.63
261,12.05.2016,Unleaded,125.9,102.4,98.7,3.7,6526,8216,6679,238.95
262,12.05.2016,Diesel,110.9,90.2,85.1,5.1,12522,13887,11290,638.99
263,13.05.2016,Unleaded,125.9,102.4,98.7,3.7,7894,9938,8080,289.16
264,13.05.2016,Diesel,110.9,90.2,85.1,5.1,13757,15256,12404,702.08
265,14.05.2016,Unleaded,125.9,102.4,98.3,4.1,4922,6196,5038,200.49
266,14.05.2016,Diesel,110.9,90.2,84.9,5.3,8729,9680,7870,461.11
267,15.05.2016,Unleaded,125.9,102.4,98.3,4.1,6216,7826,6363,253.20
268,15.05.2016,Diesel,110.9,90.2,84.9,5.3,9870,10945,8899,521.38
269,16.05.2016,Unleaded,125.9,102.4,98.3,4.1,5527,6959,5657,225.17
270,16.05.2016,Diesel,110.9,90.2,84.9,5.3,10564,11716,9525,558.07
271,17.05.2016,Unleaded,125.9,102.4,98.3,4.1,6289,7918,6437,256.20
272,17.05.2016,Diesel,110.9,90.2,84.9,5.3,10387,11520,9366,548.88
273,18.05.2016,Unleaded,125.9,102.4,100.1,2.3,5557,6996,5688,127.51
274,18.05.2016,Diesel,110.9,90.2,86.3,3.8,12286,13626,11078,470.96
275,19.05.2016,Unleaded,125.9,102.4,98.3,4.1,7314,9208,7486,297.88
276,19.05.2016,Diesel,110.9,90.2,84.9,5.3,12449,13807,11225,657.83
277,20.05.2016,Unleaded,125.9,102.4,98.3,4.1,6996,8807,7160,284.97
278,20.05.2016,Diesel,110.9,90.2,84.9,5.3,13106,14535,11817,692.51
279,21.05.2016,Unleaded,125.9,102.4,102.3,0.1,6417,8079,6568,4.06
280,21.05.2016,Diesel,110.9,90.2,90.0,0.2,11472,12723,10344,18.82
281,22.05.2016,Unleaded,125.9,102.4,102.3,0.1,5982,7532,6123,3.92
282,22.05.2016,Diesel,110.9,90.2,90.0,0.2,10260,11378,9250,16.79
283,23.05.2016,Unleaded,128.7,104.6,102.3,2.3,4945,6364,5174,115.29
284,23.05.2016,Diesel,112.9,91.8,90.0,1.8,10445,11792,9587,186.10
285,24.05.2016,Unleaded,129.9,105.6,102.3,3.3,5145,6682,5433,170.40
286,24.05.2016,Diesel,113.9,92.6,90.0,2.6,10617,12093,9831,275.93
287,25.05.2016,Unleaded,129.9,105.6,102.3,3.3,5101,6626,5387,169.11
288,25.05.2016,Diesel,113.9,92.6,90.0,2.6,10848,12355,10045,281.90
289,26.05.2016,Unleaded,129.9,105.6,101.6,4.0,6187,8037,6534,246.01
290,26.05.2016,Diesel,113.9,92.6,88.4,4.2,12338,14052,11425,511.90
291,27.05.2016,Unleaded,129.9,105.6,101.6,4.0,7245,9411,7651,288.02
292,27.05.2016,Diesel,113.9,92.6,88.4,4.2,12014,13683,11125,498.41
293,28.05.2016,Unleaded,132.3,107.5,98.3,9.3,5711,7554,6142,529.21
294,28.05.2016,Diesel,113.9,92.6,84.9,7.7,9984,11372,9245,770.64
295,29.05.2016,Unleaded,132.9,108.0,98.3,9.8,5580,7417,6030,545.33
296,29.05.2016,Diesel,113.9,92.6,84.9,7.7,9679,11025,8963,747.13
297,30.05.2016,Unleaded,132.9,108.0,102.3,5.8,5330,7083,5759,308.10
298,30.05.2016,Diesel,113.9,92.6,88.9,3.7,11837,13482,10961,434.31
299,31.05.2016,Unleaded,132.9,108.0,102.3,5.8,4837,6429,5227,279.64
300,31.05.2016,Diesel,113.9,92.6,88.9,3.7,10853,12361,10049,398.13
301,01.06.2016,Unleaded,132.9,108.0,103.0,5.1,5904,7847,6379,300.01
302,01.06.2016,Diesel,113.9,92.6,86.3,6.3,12287,13994,11378,770.25
303,02.06.2016,Unleaded,132.9,108.0,103.0,5.1,6279,8345,6785,318.98
304,02.06.2016,Diesel,113.9,92.6,86.3,6.3,13006,14814,12044,815.31
305,03.06.2016,Unleaded,132.9,108.0,103.0,5.1,7665,10187,8282,389.39
306,03.06.2016,Diesel,115.2,93.6,89.7,3.9,12908,14866,12087,502.52
307,04.06.2016,Unleaded,132.9,108.0,103.0,5.1,6206,8248,6705,315.35
308,04.06.2016,Diesel,115.9,94.2,89.7,4.5,10211,11834,9621,458.16
309,05.06.2016,Unleaded,132.9,108.0,102.9,5.1,5118,6802,5530,261.58
310,05.06.2016,Diesel,115.9,94.2,89.8,4.4,7407,8584,6979,325.66
311,06.06.2016,Unleaded,132.9,108.0,102.9,5.1,5102,6781,5513,260.80
312,06.06.2016,Diesel,115.9,94.2,89.8,4.4,8897,10311,8383,391.19
313,07.06.2016,Unleaded,132.9,108.0,102.9,5.1,5632,7485,6085,287.88
314,07.06.2016,Diesel,115.9,94.2,89.8,4.4,9249,10720,8715,406.64
315,08.06.2016,Unleaded,132.9,108.0,102.9,5.1,5520,7336,5964,282.10
316,08.06.2016,Diesel,115.9,94.2,89.8,4.4,9554,11073,9003,420.17
317,09.06.2016,Unleaded,132.9,108.0,102.9,5.1,6025,8008,6510,307.97
318,09.06.2016,Diesel,115.9,94.2,89.8,4.4,12223,14166,11517,537.45
