ID,Date,UnitSP,UnitNet,UnitCPUnit,Profit,QtySold,ValSold,Net,Profit
33,03.02.2016,107.9,87.7,78.7,9.1,8889,9591,7798,804.62
34,04.02.2016,107.9,87.7,78.7,9.1,9309,10045,8166,842.64
35,05.02.2016,107.9,87.7,78.7,9.1,9042,9757,7932,818.40
36,06.02.2016,107.9,87.7,75.6,12.1,7520,8114,6597,913.00
37,07.02.2016,107.9,87.7,75.6,12.1,6682,7210,5862,811.28
38,08.02.2016,107.9,87.7,75.6,12.1,7667,8273,6726,930.84
39,09.02.2016,107.9,87.7,79.6,8.1,8493,9164,7450,686.30
40,10.02.2016,107.9,87.7,79.6,8.1,8304,8959,7284,670.93
41,11.02.2016,107.9,87.7,79.6,8.1,9529,10281,8359,769.99
42,12.02.2016,107.2,87.2,78.7,8.5,9821,10532,8562,836.48
43,13.02.2016,105.9,86.1,78.7,7.4,8344,8836,7184,619.75
44,14.02.2016,105.9,86.1,75.6,10.5,7688,8142,6619,808.50
45,15.02.2016,105.9,86.1,76.8,9.4,9419,9974,8109,880.27
46,16.02.2016,105.9,86.1,76.8,9.4,8035,8509,6918,751.01
47,17.02.2016,105.9,86.1,76.8,9.4,9932,10517,8551,928.25
48,18.02.2016,105.9,86.1,76.8,9.4,10184,10785,8768,951.90
49,19.02.2016,105.9,86.1,76.8,9.4,11444,12119,9853,1069.58
50,20.02.2016,105.9,86.1,76.8,9.4,8980,9510,7731,839.34
51,21.02.2016,105.9,86.1,76.8,9.4,6824,7227,5875,637.77
52,22.02.2016,105.9,86.1,80.2,5.9,8078,8555,6955,477.90
53,23.02.2016,105.9,86.1,80.2,5.9,9864,10446,8492,583.58
54,24.02.2016,105.9,86.1,80.2,5.9,9218,9762,7937,545.50
55,25.02.2016,105.9,86.1,80.2,5.9,10873,11515,9362,643.31
56,26.02.2016,105.9,86.1,80.2,5.9,10786,11423,9287,638.29
57,27.02.2016,105.9,86.1,80.2,5.9,9014,9546,7761,533.42
58,28.02.2016,105.9,86.1,80.2,5.9,7994,8466,6883,472.97
59,29.02.2016,105.9,86.1,80.2,5.9,8346,8838,7185,493.77
60,01.03.2016,105.9,86.1,79.4,6.7,9349,9900,8049,628.93
61,02.03.2016,105.9,86.1,79.5,6.6,9740,10314,8386,646.43
62,03.03.2016,105.9,86.1,79.4,6.7,10847,11487,9339,729.73
63,04.03.2016,105.9,86.1,79.4,6.7,10905,11548,9388,733.54
64,05.03.2016,105.9,86.1,79.4,6.7,8976,9506,7728,603.77
65,06.03.2016,105.9,86.1,79.4,6.7,7159,7581,6163,481.46
66,07.03.2016,105.9,86.1,79.4,6.7,9118,9656,7850,613.38
67,08.03.2016,105.9,86.1,79.1,7.0,9257,9803,7970,647.76
68,09.03.2016,105.9,86.1,79.1,7.0,10168,10768,8754,711.41
69,10.03.2016,105.9,86.1,81.6,4.5,9276,9823,7987,417.10
70,11.03.2016,105.9,86.1,81.6,4.5,11505,12183,9905,517.31
71,12.03.2016,105.9,86.1,81.6,4.5,9423,9978,8113,423.65
72,13.03.2016,105.9,86.1,81.6,4.5,7264,7693,6254,326.65
73,14.03.2016,105.9,86.1,82.9,3.2,9584,10150,8252,307.30
74,15.03.2016,105.9,86.1,82.9,3.2,10011,10602,8619,321.04
75,16.03.2016,105.9,86.1,82.9,3.2,12159,12876,10468,389.95
76,17.03.2016,105.9,86.1,83.7,2.4,7841,8304,6751,188.65
77,18.03.2016,105.9,86.1,83.7,2.4,11176,11835,9622,268.94
78,19.03.2016,105.9,86.1,81.6,4.5,10757,11391,9261,483.71
79,20.03.2016,105.9,86.1,81.6,4.5,9870,10452,8497,443.77
80,21.03.2016,106.6,86.7,82.8,3.9,11141,11879,9658,435.60
81,22.03.2016,107.9,87.7,83.6,4.1,8415,9080,7382,344.24
82,23.03.2016,107.9,87.7,83.6,4.1,9348,10086,8200,382.33
83,24.03.2016,107.9,87.7,83.6,4.1,11507,12415,10094,470.79
84,25.03.2016,107.9,87.7,83.6,4.1,11564,12477,10144,473.01
85,26.03.2016,107.9,87.7,83.6,4.1,8483,9153,7441,346.97
86,27.03.2016,107.9,87.7,83.0,4.7,5583,6024,4898,263.61
87,28.03.2016,107.9,87.7,83.0,4.7,8144,8787,7144,384.40
88,29.03.2016,107.9,87.7,83.0,4.7,9903,10685,8687,467.49
89,30.03.2016,107.9,87.7,83.0,4.7,9678,10443,8490,456.86
90,31.03.2016,107.9,87.7,83.0,4.7,11600,12516,10176,547.68
91,01.04.2016,107.9,87.7,81.8,6.0,11640,12559,10210,695.03
92,02.04.2016,107.9,87.7,81.8,6.0,9799,10573,8596,585.13
93,03.04.2016,107.9,87.7,81.8,6.0,7682,8289,6739,458.71
94,04.04.2016,107.9,87.7,81.8,6.0,10067,10862,8831,601.08
95,05.04.2016,107.9,87.7,81.8,6.0,10916,11778,9576,651.85
96,06.04.2016,107.9,87.7,82.3,5.5,10349,11167,9079,566.25
97,07.04.2016,107.9,87.7,82.3,5.5,13038,14068,11437,713.35
98,08.04.2016,107.9,87.7,80.3,7.4,11781,12712,10335,876.62
99,09.04.2016,107.9,87.7,80.5,7.2,10133,10933,8888,733.77
100,10.04.2016,107.9,87.7,80.5,7.2,9189,9915,8061,665.43
101,11.04.2016,107.9,87.7,80.5,7.2,10478,11306,9192,758.73
102,12.04.2016,107.9,87.7,80.5,7.2,10609,11446,9306,768.11
103,13.04.2016,107.9,87.7,80.5,7.2,10995,11863,9645,796.12
104,14.04.2016,107.9,87.7,80.5,7.2,12027,12977,10551,870.89
105,15.04.2016,107.9,87.7,80.5,7.2,13353,14408,11714,966.96
106,16.04.2016,107.9,87.7,82.9,4.8,10874,11732,9539,525.28
107,17.04.2016,107.9,87.7,82.9,4.8,9604,10362,8424,464.01
108,18.04.2016,107.9,87.7,82.9,4.8,10029,10821,8798,484.55
109,19.04.2016,107.9,87.7,82.9,4.8,10279,11091,9017,496.53
110,20.04.2016,107.9,87.7,84.2,3.6,10521,11352,9229,375.62
111,21.04.2016,107.9,87.7,84.2,3.6,12605,13600,11057,450.11
112,22.04.2016,107.9,87.7,84.2,3.6,15037,16225,13191,537.06
113,23.04.2016,107.9,87.7,83.8,4.0,13165,14205,11548,521.52
114,24.04.2016,109.6,89.1,83.8,5.3,10250,11234,9133,547.84
115,25.04.2016,110.9,90.2,83.8,6.4,10912,12102,9839,698.73
116,26.04.2016,110.9,90.2,83.8,6.4,9413,10439,8487,602.74
117,27.04.2016,110.9,90.2,84.9,5.3,11073,12280,9984,587.33
118,28.04.2016,110.9,90.2,83.8,6.4,12354,13701,11139,791.01
119,30.04.2016,110.9,90.2,84.9,5.3,23987,26602,21628,1272.14
120,01.05.2016,110.9,90.2,84.9,5.3,8278,9180,7463,438.99
121,02.05.2016,110.9,90.2,84.9,5.3,9795,10863,8832,519.48
122,03.05.2016,110.9,90.2,84.9,5.3,11339,12575,10223,601.34
123,04.05.2016,110.9,90.2,85.4,4.7,11682,12956,10533,552.92
124,05.05.2016,110.9,90.2,85.4,4.7,10704,11871,9651,506.68
125,06.05.2016,110.9,90.2,86.3,3.9,12544,13911,11310,489.68
126,07.05.2016,110.9,90.2,86.3,3.9,10031,11124,9044,391.54
127,08.05.2016,110.9,90.2,85.1,5.1,8941,9916,8061,456.35
128,09.05.2016,110.9,90.2,85.1,5.1,11089,12298,9998,565.86
129,10.05.2016,110.9,90.2,85.1,5.1,11152,12367,10055,569.08
130,11.05.2016,110.9,90.2,85.1,5.1,12375,13725,11158,631.63
131,12.05.2016,110.9,90.2,85.1,5.1,12522,13887,11290,638.99
132,13.05.2016,110.9,90.2,85.1,5.1,13757,15256,12404,702.08
133,14.05.2016,110.9,90.2,84.9,5.3,8729,9680,7870,461.11
134,15.05.2016,110.9,90.2,84.9,5.3,9870,10945,8899,521.38
135,16.05.2016,110.9,90.2,84.9,5.3,10564,11716,9525,558.07
136,17.05.2016,110.9,90.2,84.9,5.3,10387,11520,9366,548.88
137,18.05.2016,110.9,90.2,86.3,3.8,12286,13626,11078,470.96
138,19.05.2016,110.9,90.2,84.9,5.3,12449,13807,11225,657.83
139,20.05.2016,110.9,90.2,84.9,5.3,13106,14535,11817,692.51
140,21.05.2016,110.9,90.2,90.0,0.2,11472,12723,10344,18.82
141,22.05.2016,110.9,90.2,90.0,0.2,10260,11378,9250,16.79
142,23.05.2016,112.9,91.8,90.0,1.8,10445,11792,9587,186.10
143,24.05.2016,113.9,92.6,90.0,2.6,10617,12093,9831,275.93
144,25.05.2016,113.9,92.6,90.0,2.6,10848,12355,10045,281.90
145,26.05.2016,113.9,92.6,88.4,4.2,12338,14052,11425,511.90
146,27.05.2016,113.9,92.6,88.4,4.2,12014,13683,11125,498.41
147,28.05.2016,113.9,92.6,84.9,7.7,9984,11372,9245,770.64
148,29.05.2016,113.9,92.6,84.9,7.7,9679,11025,8963,747.13
149,30.05.2016,113.9,92.6,88.9,3.7,11837,13482,10961,434.31
150,31.05.2016,113.9,92.6,88.9,3.7,10853,12361,10049,398.13
151,01.06.2016,113.9,92.6,86.3,6.3,12287,13994,11378,770.25
152,02.06.2016,113.9,92.6,86.3,6.3,13006,14814,12044,815.31
153,03.06.2016,115.2,93.6,89.7,3.9,12908,14866,12087,502.52
154,04.06.2016,115.9,94.2,89.7,4.5,10211,11834,9621,458.16
155,05.06.2016,115.9,94.2,89.8,4.4,7407,8584,6979,325.66
156,06.06.2016,115.9,94.2,89.8,4.4,8897,10311,8383,391.19
157,07.06.2016,115.9,94.2,89.8,4.4,9249,10720,8715,406.64
158,08.06.2016,115.9,94.2,89.8,4.4,9554,11073,9003,420.17
159,09.06.2016,115.9,94.2,89.8,4.4,12223,14166,11517,537.45
160,10.06.2016,115.9,94.2,88.9,5.3,10382,12033,9783,549.98
161,11.06.2016,115.9,94.2,88.9,5.3,9443,10945,8898,500.18
162,12.06.2016,115.9,94.2,88.9,5.3,7862,9112,7408,416.52
163,13.06.2016,115.9,94.2,88.9,5.3,9388,10880,8846,497.20
164,14.06.2016,115.9,94.2,88.9,5.3,10382,12033,9783,549.86
165,15.06.2016,115.9,94.2,90.8,3.4,10484,12151,9879,359.18
166,16.06.2016,115.9,94.2,90.8,3.4,10729,12435,10110,367.63
167,17.06.2016,115.9,94.2,89.2,5.0,12758,14786,12021,637.47
168,18.06.2016,115.9,94.2,89.2,5.0,8793,10191,8285,439.41
169,19.06.2016,115.9,94.2,90.0,4.2,7833,9078,7381,331.07
170,20.06.2016,115.9,94.2,90.0,4.2,9514,11026,8964,402.04
171,21.06.2016,115.9,94.2,90.0,4.2,9889,11462,9318,417.94
172,22.06.2016,115.9,94.2,90.0,4.2,9305,10785,8768,393.31
173,23.06.2016,115.9,94.2,88.1,6.1,10367,12015,9768,634.11
174,24.06.2016,115.9,94.2,88.1,6.1,11100,12865,10459,678.93
175,25.06.2016,115.9,94.2,90.0,4.2,7180,8321,6765,303.40
176,26.06.2016,115.9,94.2,90.0,4.2,7015,8130,6610,296.45
177,27.06.2016,115.9,94.2,88.6,5.6,10895,12627,10266,608.69
178,28.06.2016,115.9,94.2,88.6,5.6,10409,12063,9808,581.44
179,29.06.2016,115.9,94.2,88.6,5.6,10747,12455,10126,600.45
180,30.06.2016,115.9,94.2,88.6,5.6,10455,12117,9851,584.05
181,01.07.2016,115.9,94.2,88.3,5.9,11446,13265,10785,674.98
182,02.07.2016,115.9,94.2,87.6,6.7,10049,11647,9469,669.95
183,03.07.2016,115.9,94.2,87.6,6.7,8268,9583,7791,551.25
184,04.07.2016,115.9,94.2,87.6,6.7,9324,10807,8786,621.65
185,05.07.2016,115.9,94.2,88.3,5.9,10026,11620,9447,591.27
186,06.07.2016,115.9,94.2,88.3,5.9,10045,11642,9465,592.35
187,07.07.2016,115.9,94.2,88.3,5.9,10427,12084,9825,614.78
188,08.07.2016,115.9,94.2,88.3,5.9,9246,10717,8713,545.25
189,09.07.2016,115.9,94.2,88.3,5.9,8686,10067,8185,512.20
190,10.07.2016,115.9,94.2,89.5,4.8,7493,8685,7061,356.48
191,11.07.2016,115.9,94.2,89.5,4.8,9195,10657,8664,437.45
192,12.07.2016,115.9,94.2,87.6,6.7,9105,10553,8580,606.94
193,13.07.2016,115.9,94.2,87.6,6.7,9547,11065,8996,636.47
194,14.07.2016,113.1,92.0,87.6,4.4,12692,14354,11670,556.68
195,15.07.2016,112.9,91.8,87.3,4.5,12452,14059,11430,564.11
196,16.07.2016,112.9,91.8,87.3,4.5,10304,11634,9458,466.94
197,17.07.2016,112.9,91.8,86.2,5.6,8395,9478,7706,472.81
198,18.07.2016,112.9,91.8,86.2,5.6,9062,10232,8319,510.41
199,19.07.2016,112.9,91.8,87.3,4.5,9916,11195,9102,449.32
200,20.07.2016,112.9,91.8,87.3,4.5,10351,11687,9502,469.03
201,21.07.2016,112.9,91.8,86.2,5.6,11488,12970,10545,646.93
202,22.07.2016,112.9,91.8,86.2,5.6,10547,11908,9682,594.00
203,23.07.2016,112.9,91.8,86.2,5.6,9884,11160,9073,556.66
204,24.07.2016,111.3,90.5,86.2,4.4,8660,9643,7840,378.59
205,25.07.2016,110.9,90.2,86.2,4.0,10818,11998,9754,433.05
206,26.07.2016,110.9,90.2,87.2,2.9,11610,12876,10468,339.45
207,27.07.2016,110.9,90.2,87.2,2.9,10955,12150,9878,320.32
208,28.07.2016,110.9,90.2,87.2,2.9,12343,13688,11129,360.88
209,29.07.2016,110.9,90.2,87.2,2.9,12693,14077,11445,371.15
210,30.07.2016,110.9,90.2,87.2,2.9,10929,12120,9854,319.51
211,31.07.2016,110.9,90.2,87.2,2.9,8676,9621,7822,253.71
212,01.08.2016,110.9,90.2,84.9,5.3,8785,9742,7921,465.92
213,02.08.2016,110.9,90.2,84.9,5.3,11399,12641,10278,604.46
214,03.08.2016,110.9,90.2,84.9,5.3,10133,11237,9136,537.34
215,04.08.2016,110.9,90.2,84.9,5.3,12170,13497,10973,645.38
216,05.08.2016,110.9,90.2,83.5,6.6,12967,14381,11692,861.47
217,06.08.2016,110.9,90.2,83.5,6.6,9360,10380,8439,621.76
218,07.08.2016,110.9,90.2,83.5,6.6,7105,7880,6406,472.03
219,08.08.2016,110.9,90.2,83.5,6.6,10568,11719,9528,701.94
220,09.08.2016,110.9,90.2,84.0,6.1,10105,11206,9111,620.76
221,10.08.2016,110.9,90.2,84.0,6.1,10487,11630,9455,644.31
222,11.08.2016,110.9,90.2,84.0,6.1,10909,12098,9835,670.08
223,12.08.2016,110.9,90.2,84.0,6.1,11671,12943,10523,717.02
224,13.08.2016,110.9,90.2,84.0,6.1,10337,11464,9320,635.07
225,14.08.2016,110.9,90.2,84.0,6.1,8552,9484,7711,525.47
226,15.08.2016,110.9,90.2,84.0,6.1,10148,11254,9150,623.49
227,16.08.2016,110.9,90.2,85.9,4.3,8788,9746,7924,378.21
228,17.08.2016,110.9,90.2,85.9,4.3,10149,11255,9151,436.83
229,18.08.2016,110.9,90.2,85.9,4.3,10736,11907,9680,462.01
230,19.08.2016,110.9,90.2,85.9,4.3,10671,11835,9622,459.35
231,20.08.2016,110.9,90.2,87.7,2.5,10266,11385,9256,256.01
232,21.08.2016,110.9,90.2,87.7,2.5,8292,9196,7476,206.71
233,22.08.2016,110.9,90.2,87.7,2.5,9530,10569,8593,237.68
234,23.08.2016,113.1,91.9,88.6,3.4,9070,10255,8338,305.00
235,24.08.2016,113.9,92.6,88.6,4.0,9636,10975,8923,389.21
236,25.08.2016,113.9,92.6,88.8,3.8,10215,11635,9459,383.94
237,26.08.2016,113.9,92.6,88.8,3.8,10970,12494,10158,412.34
238,27.08.2016,113.9,92.6,88.8,3.8,10312,11745,9549,387.56
239,28.08.2016,113.9,92.6,85.9,6.7,8677,9882,8034,584.70
240,29.08.2016,113.9,92.6,85.9,6.7,9968,11353,9230,671.64
241,30.08.2016,113.9,92.6,88.7,3.9,9721,11072,9001,378.01
242,31.08.2016,113.9,92.6,88.7,3.9,9925,11304,9191,385.97
243,01.09.2016,113.9,92.6,88.6,4.0,11455,13047,10607,462.67
244,02.09.2016,113.9,92.6,88.6,4.0,12345,14060,11431,498.57
245,03.09.2016,113.9,92.6,88.6,4.0,9112,10379,8438,368.01
246,04.09.2016,113.9,92.6,88.7,3.9,6904,7863,6393,268.44
247,05.09.2016,113.9,92.6,88.7,3.9,9730,11082,9010,378.42
248,06.09.2016,113.9,92.6,87.4,5.2,10240,11663,9482,534.42
249,07.09.2016,113.9,92.6,87.4,5.2,11694,13319,10828,610.27
250,08.09.2016,113.9,92.6,87.4,5.2,10322,11756,9558,538.65
251,09.09.2016,113.9,92.6,87.4,5.2,10577,12047,9794,551.97
252,10.09.2016,113.9,92.6,87.7,4.9,9596,10929,8886,473.93
253,11.09.2016,113.9,92.6,87.7,4.9,7899,8997,7315,390.12
254,12.09.2016,113.9,92.6,87.7,4.9,9706,11054,8987,479.37
255,13.09.2016,113.9,92.6,88.1,4.5,9776,11135,9053,440.78
256,14.09.2016,113.9,92.6,88.1,4.5,9791,11151,9066,441.46
257,15.09.2016,113.9,92.6,88.1,4.5,11653,13273,10791,525.44
258,16.09.2016,113.9,92.6,88.1,4.5,10238,11661,9480,461.59
259,17.09.2016,113.9,92.6,87.7,4.9,9599,10933,8889,474.06
260,18.09.2016,113.9,92.6,87.0,5.6,8654,9857,8013,483.65
261,19.09.2016,113.9,92.6,87.0,5.6,9996,11385,9256,558.68
262,20.09.2016,113.9,92.6,87.0,5.6,9494,10814,8792,530.59
263,21.09.2016,113.9,92.6,87.0,5.6,9869,11241,9139,551.57
264,22.09.2016,113.9,92.6,87.0,5.6,10784,12282,9986,602.70
265,23.09.2016,113.9,92.6,87.0,5.6,11472,13066,10623,641.13
266,24.09.2016,113.9,92.6,87.0,5.6,9265,10552,8579,517.76
267,25.09.2016,113.9,92.6,87.0,5.6,9641,10981,8928,538.81
268,26.09.2016,113.9,92.6,88.2,4.4,10036,11431,9293,438.48
269,27.09.2016,113.9,92.6,88.2,4.4,8958,10202,8295,391.34
270,28.09.2016,113.9,92.6,88.2,4.4,9827,11192,9099,429.28
271,29.09.2016,113.9,92.6,88.2,4.4,11562,13169,10706,505.13
272,30.09.2016,113.9,92.6,87.9,4.7,11478,13073,10628,539.30
273,01.10.2016,113.9,92.6,87.9,4.7,10685,12169,9894,502.02
274,02.10.2016,113.9,92.6,87.9,4.7,10515,11976,9736,494.04
275,03.10.2016,113.9,92.6,87.9,4.7,12111,13793,11214,569.02
276,04.10.2016,113.9,92.6,87.9,4.7,11818,13461,10944,555.31
278,05.10.2016,113.9,92.6,88.7,3.9,13414,15278,12421,526.97
279,06.10.2016,115.6,94.0,88.7,5.3,11301,13063,10620,599.26
280,07.10.2016,116.9,95.0,88.7,6.4,10991,12849,10446,700.21
281,08.10.2016,116.9,95.0,87.9,7.1,9433,11027,8965,673.42
282,09.10.2016,116.9,95.0,87.9,7.1,8086,9452,7685,577.37
283,10.10.2016,116.9,95.0,87.9,7.1,11052,12920,10504,789.17
284,11.10.2016,116.9,95.0,91.6,3.4,10582,12371,10058,365.16
285,12.10.2016,116.9,95.0,91.6,3.4,10442,12207,9925,360.29
286,13.10.2016,116.9,95.0,91.6,3.4,11429,13361,10863,394.35
287,14.10.2016,116.9,95.0,91.6,3.4,12387,14480,11772,427.36
288,15.10.2016,116.9,95.0,91.6,3.4,10860,12695,10321,374.70
289,16.10.2016,116.9,95.0,91.6,3.4,9609,11232,9132,331.59
290,17.10.2016,118.2,96.1,91.6,4.5,9594,11343,9222,435.14
291,18.10.2016,118.9,96.7,92.3,4.4,10292,12237,9949,450.73
292,19.10.2016,118.9,96.7,92.3,4.4,10334,12287,9989,452.55
293,20.10.2016,118.9,96.7,92.3,4.4,11031,13116,10663,483.05
294,21.10.2016,118.9,96.7,92.3,4.4,11787,14016,11395,516.13
295,22.10.2016,118.9,96.7,92.3,4.4,10022,11916,9688,438.90
296,23.10.2016,118.9,96.7,92.3,4.4,8125,9661,7854,355.80
297,24.10.2016,118.9,96.7,92.4,4.2,10058,11959,9723,427.30
298,25.10.2016,118.9,96.7,93.0,3.6,8983,10681,8684,326.02
299,26.10.2016,118.9,96.7,93.0,3.6,10081,11987,9745,365.86
300,27.10.2016,118.9,96.7,93.0,3.6,11965,14227,11567,434.30
301,28.10.2016,119.4,97.1,93.0,4.0,12761,15240,12390,516.67
302,29.10.2016,119.9,97.5,93.0,4.4,9520,11414,9280,422.91
303,30.10.2016,119.9,97.5,92.5,4.9,8568,10273,8352,423.46
304,31.10.2016,119.9,97.5,92.5,4.9,6986,8377,6810,345.27
305,01.11.2016,119.9,97.5,92.5,4.9,10377,12442,10116,512.87
306,02.11.2016,119.9,97.5,92.5,4.9,10707,12838,10437,529.13
307,03.11.2016,119.9,97.5,92.5,4.9,12067,14469,11764,596.43
308,04.11.2016,119.9,97.5,91.1,6.4,11958,14338,11657,763.17
309,05.11.2016,119.9,97.5,91.1,6.4,9535,11432,9294,608.53
310,06.11.2016,119.9,97.5,93.8,3.7,9210,11043,8978,343.74
311,07.11.2016,119.9,97.5,93.8,3.7,10380,12447,10119,387.42
312,09.11.2016,119.9,97.5,87.9,9.6,18735,22464,18264,1795.29
313,10.11.2016,119.9,97.5,88.8,8.7,12699,15227,12379,1100.05
314,11.11.2016,119.9,97.5,88.8,8.7,10705,12836,10436,927.38
315,12.11.2016,119.9,97.5,88.5,8.9,10777,12922,10506,963.73
316,13.11.2016,119.9,97.5,88.5,8.9,9610,11523,9369,859.40
317,14.11.2016,119.9,97.5,88.5,8.9,10670,12794,10401,954.10
318,15.11.2016,119.9,97.5,88.5,8.9,10334,12391,10074,924.14
319,16.11.2016,119.9,97.5,88.5,8.9,10519,12613,10254,940.61
320,17.11.2016,119.9,97.5,88.5,8.9,11192,13419,10910,1000.85
321,18.11.2016,119.9,97.5,88.4,9.1,11976,14360,11675,1088.86
322,19.11.2016,119.9,97.5,88.4,9.1,9720,11655,9476,883.83
323,20.11.2016,119.9,97.5,88.4,9.1,10379,12445,10118,943.69
324,21.11.2016,119.9,97.5,88.4,9.1,10210,12243,9953,928.39
325,22.11.2016,119.1,96.9,89.8,7.0,10727,12780,10390,752.68
326,23.11.2016,118.9,96.7,89.8,6.8,12750,15160,12325,870.73
327,24.11.2016,118.9,96.7,89.8,6.8,12021,14293,11620,820.92
328,25.11.2016,118.9,96.7,89.8,6.8,11564,13750,11179,789.76
329,26.11.2016,118.9,96.7,91.4,5.3,9555,11361,9236,507.31
330,27.11.2016,118.9,96.7,91.4,5.3,9688,11519,9365,514.37
331,28.11.2016,118.9,96.7,91.4,5.3,11104,13203,10734,589.53
332,29.11.2016,118.9,96.7,92.2,4.5,10713,12738,10356,479.89
333,30.11.2016,118.9,96.7,92.2,4.5,10525,12515,10175,471.53
334,01.12.2016,118.9,96.7,92.2,4.5,12700,15101,12277,568.89
335,02.12.2016,118.9,96.7,91.3,5.4,12996,15453,12563,696.52
336,03.12.2016,118.9,96.7,91.3,5.4,9716,11553,9392,520.76
337,04.12.2016,118.9,96.7,91.3,5.4,9646,11470,9325,516.99
338,05.12.2016,118.9,96.7,91.3,5.4,10303,12251,9960,552.14
339,06.12.2016,118.9,96.7,93.2,3.5,10492,12476,10143,365.05
340,07.12.2016,118.9,96.7,93.2,3.5,11383,13535,11004,396.02
341,08.12.2016,118.9,96.7,93.2,3.5,13395,15927,12949,466.07
342,09.12.2016,118.9,96.7,93.2,3.5,12955,15404,12523,450.72
343,10.12.2016,118.9,96.7,93.2,3.5,9816,11671,9489,341.55
344,11.12.2016,118.9,96.7,93.5,3.1,9945,11825,9614,310.25
345,12.12.2016,118.9,96.7,93.5,3.1,11253,13381,10878,351.00
346,13.12.2016,118.9,96.7,93.5,3.1,10567,12565,10215,329.62
347,14.12.2016,118.9,96.7,93.5,3.1,12867,15299,12438,401.31
348,15.12.2016,118.9,96.7,93.5,3.1,12198,14504,11792,380.50
349,16.12.2016,118.9,96.7,93.5,3.1,12793,15211,12366,399.09
350,17.12.2016,118.9,96.7,93.5,3.1,12537,14907,12119,391.18
351,18.12.2016,118.9,96.7,95.2,1.4,11733,13951,11342,167.72
352,19.12.2016,118.9,96.7,95.2,1.4,13702,16292,13245,195.81
353,20.12.2016,120.9,98.3,95.2,3.1,13209,15975,12988,407.78
354,21.12.2016,123.9,100.7,95.2,5.5,12016,14888,12104,660.11
355,22.12.2016,123.9,100.7,95.2,5.5,13137,16277,13233,721.71
356,23.12.2016,123.9,100.7,95.2,5.5,11034,13671,11115,606.10
357,24.12.2016,123.9,100.7,96.4,4.3,9284,11503,9352,402.26
358,25.12.2016,123.9,100.7,96.0,4.8,193,239,194,9.18
359,26.12.2016,123.9,100.7,96.0,4.8,4363,5406,4395,207.93
360,27.12.2016,123.9,100.7,96.0,4.8,6604,8183,6653,314.66
361,28.12.2016,123.9,100.7,96.0,4.8,8182,10138,8242,389.83
362,29.12.2016,123.9,100.7,96.0,4.8,8583,10634,8646,408.83
363,30.12.2016,123.9,100.7,96.0,4.8,8227,10193,8287,391.92
364,31.12.2016,123.9,100.7,95.2,5.5,7370,9132,7425,404.98
