ID,Date,UnitSP,UnitNet,UnitCPUnit,Profit,QtySold,ValSold,(Net),Profit
92,02.04.2016,125.9,102.4,98.4,3.9,4780,6018,4892,188.45
93,03.04.2016,125.9,102.4,98.4,3.9,4884,6149,4999,192.60
94,04.04.2016,125.9,102.4,98.4,3.9,4422,5567,4526,174.40
95,05.04.2016,125.9,102.4,98.4,3.9,5381,6775,5508,212.21
96,06.04.2016,125.9,102.4,98.2,4.2,5058,6367,5177,210.59
97,07.04.2016,125.9,102.4,98.2,4.2,5677,7147,5811,236.31
98,08.04.2016,125.9,102.4,97.5,4.9,5878,7401,6017,288.31
99,09.04.2016,125.9,102.4,97.5,4.9,5045,6351,5164,247.39
100,10.04.2016,125.9,102.4,97.5,4.9,4765,5999,4878,233.66
101,11.04.2016,125.9,102.4,97.5,4.9,5099,6419,5219,250.06
102,12.04.2016,125.9,102.4,97.5,4.9,3919,4933,4011,192.16
103,13.04.2016,125.9,102.4,97.5,4.9,4366,5496,4469,214.11
104,14.04.2016,125.9,102.4,96.8,5.6,5772,7267,5908,321.83
105,15.04.2016,125.9,102.4,96.8,5.6,5926,7461,6066,330.27
106,16.04.2016,125.9,102.4,99.0,3.3,5493,6915,5622,183.64
107,17.04.2016,125.9,102.4,99.0,3.3,5018,6318,5136,167.80
108,18.04.2016,125.9,102.4,99.0,3.4,4473,5631,4578,149.63
109,19.04.2016,125.9,102.4,99.0,3.3,4881,6145,4996,163.26
110,20.04.2016,125.9,102.4,99.5,2.8,4782,6020,4895,135.97
111,21.04.2016,125.9,102.4,99.5,2.8,5992,7544,6133,170.37
112,22.04.2016,125.9,102.4,99.5,2.8,6178,7778,6324,175.63
113,23.04.2016,125.9,102.4,98.2,4.2,6395,8051,6545,268.74
114,24.04.2016,125.9,102.4,98.2,4.2,5812,7317,5949,244.35
115,25.04.2016,125.9,102.4,98.2,4.2,5100,6420,5220,214.41
116,26.04.2016,125.9,102.4,98.2,4.2,5043,6349,5161,211.92
117,27.04.2016,125.9,102.4,98.6,3.8,5373,6764,5500,202.17
118,28.04.2016,125.9,102.4,98.2,4.2,6166,7763,6312,259.25
119,30.04.2016,125.9,102.4,98.6,3.8,13433,16912,13750,505.65
120,01.05.2016,125.9,102.4,98.6,3.8,5197,6542,5319,195.60
121,02.05.2016,125.9,102.4,98.6,3.8,5932,7468,6072,223.31
122,03.05.2016,125.9,102.4,98.6,3.8,5881,7404,6020,221.39
123,04.05.2016,125.9,102.4,100.3,2.1,5750,7239,5885,120.82
124,05.05.2016,125.9,102.4,100.3,2.1,6391,8046,6541,134.46
125,06.05.2016,125.9,102.4,100.1,2.3,7082,8915,7248,161.71
126,07.05.2016,125.9,102.4,100.1,2.3,6285,7913,6433,143.58
127,08.05.2016,125.9,102.4,98.7,3.7,5631,7089,5763,206.27
128,09.05.2016,125.9,102.4,98.7,3.7,5381,6774,5507,197.15
129,10.05.2016,125.9,102.4,98.7,3.7,5815,7321,5952,213.11
130,11.05.2016,125.9,102.4,98.7,3.7,6201,7806,6347,227.26
131,12.05.2016,125.9,102.4,98.7,3.7,6526,8216,6679,238.95
132,13.05.2016,125.9,102.4,98.7,3.7,7894,9938,8080,289.16
133,14.05.2016,125.9,102.4,98.3,4.1,4922,6196,5038,200.49
134,15.05.2016,125.9,102.4,98.3,4.1,6216,7826,6363,253.20
135,16.05.2016,125.9,102.4,98.3,4.1,5527,6959,5657,225.17
136,17.05.2016,125.9,102.4,98.3,4.1,6289,7918,6437,256.20
137,18.05.2016,125.9,102.4,100.1,2.3,5557,6996,5688,127.51
138,19.05.2016,125.9,102.4,98.3,4.1,7314,9208,7486,297.88
139,20.05.2016,125.9,102.4,98.3,4.1,6996,8807,7160,284.97
140,21.05.2016,125.9,102.4,102.3,0.1,6417,8079,6568,4.06
141,22.05.2016,125.9,102.4,102.3,0.1,5982,7532,6123,3.92
142,23.05.2016,128.7,104.6,102.3,2.3,4945,6364,5174,115.29
143,24.05.2016,129.9,105.6,102.3,3.3,5145,6682,5433,170.40
144,25.05.2016,129.9,105.6,102.3,3.3,5101,6626,5387,169.11
145,26.05.2016,129.9,105.6,101.6,4.0,6187,8037,6534,246.01
146,27.05.2016,129.9,105.6,101.6,4.0,7245,9411,7651,288.02
147,28.05.2016,132.3,107.5,98.3,9.3,5711,7554,6142,529.21
148,29.05.2016,132.9,108.0,98.3,9.8,5580,7417,6030,545.33
149,30.05.2016,132.9,108.0,102.3,5.8,5330,7083,5759,308.10
150,31.05.2016,132.9,108.0,102.3,5.8,4837,6429,5227,279.64
151,01.06.2016,132.9,108.0,103.0,5.1,5904,7847,6379,300.01
152,02.06.2016,132.9,108.0,103.0,5.1,6279,8345,6785,318.98
153,03.06.2016,132.9,108.0,103.0,5.1,7665,10187,8282,389.39
154,04.06.2016,132.9,108.0,103.0,5.1,6206,8248,6705,315.35
155,05.06.2016,132.9,108.0,102.9,5.1,5118,6802,5530,261.58
156,06.06.2016,132.9,108.0,102.9,5.1,5102,6781,5513,260.80
157,07.06.2016,132.9,108.0,102.9,5.1,5632,7485,6085,287.88
158,08.06.2016,132.9,108.0,102.9,5.1,5520,7336,5964,282.10
159,09.06.2016,132.9,108.0,102.9,5.1,6025,8008,6510,307.97
160,10.06.2016,132.9,108.0,102.3,5.8,6482,8615,7004,374.70
161,11.06.2016,132.9,108.0,101.3,6.8,6745,8965,7288,456.12
162,12.06.2016,132.9,108.0,101.3,6.8,5026,6679,5430,339.80
163,13.06.2016,132.9,108.0,101.3,6.8,4117,5471,4448,278.41
164,14.06.2016,132.9,108.0,102.3,5.8,5164,6864,5580,298.64
165,15.06.2016,132.9,108.0,101.4,6.6,5536,7358,5982,366.06
166,16.06.2016,132.9,108.0,101.4,6.6,6365,8459,6877,420.76
167,17.06.2016,132.9,108.0,101.1,6.9,6930,9210,7488,480.92
168,18.06.2016,132.9,108.0,101.1,6.9,6056,8048,6543,420.23
169,19.06.2016,132.9,108.0,102.3,5.8,5656,7517,6111,325.85
170,20.06.2016,132.9,108.0,102.3,5.8,5089,6764,5499,293.20
171,21.06.2016,132.9,108.0,102.3,5.8,5104,6783,5515,293.98
172,22.06.2016,132.9,108.0,102.3,5.8,5457,7253,5897,314.42
173,23.06.2016,132.9,108.0,100.4,7.7,6268,8330,6772,480.76
174,24.06.2016,132.9,108.0,100.4,7.7,6884,9149,7438,528.00
175,25.06.2016,132.9,108.0,102.3,5.8,5142,6834,5556,296.21
176,26.06.2016,132.9,108.0,102.3,5.8,4293,5706,4639,247.34
177,27.06.2016,132.9,108.0,101.3,6.8,5296,7038,5722,360.22
178,28.06.2016,132.9,108.0,101.3,6.8,4802,6381,5188,326.62
179,29.06.2016,132.9,108.0,101.3,6.8,5206,6919,5626,354.13
180,30.06.2016,132.9,108.0,101.3,6.8,6693,8896,7232,455.13
190,01.07.2016,132.9,108.0,100.7,7.4,7382,9811,7977,544.93
191,02.07.2016,132.9,108.0,97.6,10.4,6213,8257,6713,647.43
192,03.07.2016,132.9,108.0,97.6,10.4,5794,7700,6260,603.69
193,04.07.2016,132.9,108.0,97.6,10.4,4908,6523,5303,511.49
194,,05.07.2016,132.9,108.0,100.7,7.4,5542,7366,5989,409.13
195,06.07.2016,132.9,108.0,100.7,7.4,5579,7415,6028,411.81
196,07.07.2016,132.9,108.0,100.7,7.4,6305,8380,6813,465.36
197,08.07.2016,132.9,108.0,99.3,8.8,6816,9059,7365,599.17
198,09.07.2016,132.9,108.0,99.3,8.8,5310,7057,5738,466.79
199,10.07.2016,132.9,108.0,97.5,10.6,5278,7015,5703,558.97
200,11.07.2016,132.9,108.0,97.5,10.6,4571,6075,4939,484.17
201,12.07.2016,132.9,108.0,97.6,10.4,4346,5776,4696,452.85
202,13.07.2016,132.9,108.0,97.6,10.4,5156,6852,5571,537.36
203,14.07.2016,130.0,105.7,97.6,8.1,6877,8943,7271,556.77
204,15.07.2016,129.9,105.6,97.4,8.2,6642,8627,7014,542.42
205,16.07.2016,129.9,105.6,97.4,8.2,5318,6908,5616,434.11
206,17.07.2016,129.9,105.6,97.4,8.2,5690,7391,6009,465.16
207,18.07.2016,129.9,105.6,97.4,8.2,5123,6655,5410,418.74
208,19.07.2016,129.9,105.6,97.4,8.2,4913,6381,5188,401.00
209,20.07.2016,129.9,105.6,97.4,8.2,4566,5932,4822,372.86
210,21.07.2016,129.9,105.6,97.4,8.2,5620,7300,5935,459.29
211,22.07.2016,129.9,105.6,97.4,8.2,6420,8340,6780,524.83
212,23.07.2016,129.9,105.6,97.4,8.2,5983,7772,6319,489.14
213,24.07.2016,128.3,104.4,97.4,6.9,5585,7169,5828,386.27
214,25.07.2016,127.9,104.0,97.4,6.6,5512,7050,5732,361.04
215,26.07.2016,127.9,104.0,97.5,6.5,4661,5961,4846,303.78
216,27.07.2016,127.9,104.0,97.5,6.5,5688,7275,5914,370.75
217,28.07.2016,127.9,104.0,97.5,6.5,6559,8388,6820,427.51
218,29.07.2016,127.9,104.0,97.5,6.5,7466,9548,7763,486.75
219,30.07.2016,127.9,104.0,97.5,6.5,6184,7909,6430,403.15
220,31.07.2016,127.9,104.0,97.5,6.5,4904,6272,5099,319.67
221,01.08.2016,127.9,104.0,96.2,7.8,4734,6055,4923,368.79
222,02.08.2016,127.9,104.0,96.2,7.8,4458,5702,4635,347.20
223,03.08.2016,127.9,104.0,96.2,7.8,5001,6396,5200,389.43
224,04.08.2016,127.9,104.0,96.2,7.8,5493,7025,5711,427.79
225,05.08.2016,126.2,102.6,95.4,7.2,6424,8110,6594,462.39
226,06.08.2016,125.9,102.4,95.4,6.9,6379,8031,6530,441.03
227,07.08.2016,125.9,102.4,95.4,6.9,5815,7320,5952,402.10
228,08.08.2016,125.9,102.4,95.4,6.9,4833,6085,4947,334.19
229,09.08.2016,125.9,102.4,96.1,6.2,5163,6500,5284,322.37
230,10.08.2016,125.9,102.4,96.1,6.2,5639,7099,5772,352.11
231,11.08.2016,125.9,102.4,96.1,6.2,6269,7892,6416,391.43
232,12.08.2016,125.9,102.4,96.1,6.2,6903,8690,7065,431.01
233,13.08.2016,125.9,102.4,96.1,6.2,6394,8050,6544,399.25
234,14.08.2016,125.9,102.4,96.1,6.2,5376,6768,5502,335.69
235,15.08.2016,125.9,102.4,96.1,6.3,5408,6809,5536,337.80
236,16.08.2016,125.9,102.4,96.2,6.1,5426,6831,5554,332.22
237,17.08.2016,125.9,102.4,96.2,6.1,5544,6980,5675,339.41
238,18.08.2016,125.9,102.4,96.2,6.1,6017,7575,6158,368.44
239,19.08.2016,125.9,102.4,96.2,6.1,6019,7577,6160,368.52
240,20.08.2016,125.9,102.4,97.4,4.9,5683,7155,5817,279.75
241,21.08.2016,125.9,102.4,97.4,4.9,5254,6614,5377,258.67
242,22.08.2016,125.9,102.4,97.4,4.9,4795,6037,4908,236.10
243,23.08.2016,125.9,102.4,98.5,3.9,4906,6176,5022,191.10
244,24.08.2016,125.9,102.4,98.5,3.9,5280,6647,5404,205.69
245,25.08.2016,127.0,103.2,98.2,5.1,6182,7851,6383,313.73
246,26.08.2016,127.9,104.0,98.2,5.8,6696,8564,6962,389.02
247,27.08.2016,127.9,104.0,98.2,5.8,6166,7886,6411,358.08
248,28.08.2016,127.9,104.0,96.1,7.9,4799,6137,4990,377.60
249,29.08.2016,127.9,104.0,96.1,7.9,4276,5469,4446,336.44
250,30.08.2016,127.9,104.0,99.0,5.0,4741,6063,4929,234.63
251,31.08.2016,127.9,104.0,99.0,5.0,5362,6858,5575,265.32
252,01.09.2016,127.9,104.0,99.1,4.9,5451,6971,5667,264.30
253,02.09.2016,127.9,104.0,99.1,4.9,7063,9032,7343,342.33
254,03.09.2016,127.9,104.0,99.1,4.9,5058,6469,5260,245.22
255,04.09.2016,127.9,104.0,99.1,4.9,4841,6191,5034,234.63
256,05.09.2016,127.9,104.0,99.1,4.9,5040,6446,5241,244.44
257,06.09.2016,127.9,104.0,97.4,6.6,5001,6396,5200,327.46
258,07.09.2016,127.9,104.0,97.4,6.6,5540,7085,5761,362.79
259,08.09.2016,127.9,104.0,97.4,6.6,4647,5944,4832,304.27
260,09.09.2016,127.9,104.0,97.4,6.6,5988,7658,6226,392.10
261,10.09.2016,127.9,104.0,97.3,6.7,5654,7231,5879,377.01
262,11.09.2016,127.9,104.0,97.3,6.7,4702,6013,4889,313.53
263,12.09.2016,127.9,104.0,97.3,6.7,4582,5860,4764,305.53
264,13.09.2016,127.9,104.0,99.0,4.9,4489,5741,4668,221.66
265,14.09.2016,127.9,104.0,99.0,4.9,4938,6315,5134,243.79
266,15.09.2016,127.9,104.0,99.0,4.9,5437,6954,5653,268.47
267,16.09.2016,127.9,104.0,99.0,4.9,5746,7349,5975,283.76
268,17.09.2016,127.9,104.0,97.4,6.6,5210,6663,5417,341.18
269,18.09.2016,127.9,104.0,98.2,5.8,4543,5811,4724,261.19
270,19.09.2016,127.9,104.0,98.2,5.8,4961,6345,5158,285.16
271,20.09.2016,127.9,104.0,98.2,5.8,4844,6196,5037,278.50
272,21.09.2016,127.9,104.0,98.2,5.8,4854,6208,5047,279.06
273,22.09.2016,127.9,104.0,98.2,5.8,5944,7602,6180,341.65
274,,23.09.2016,127.9,104.0,98.2,5.8,5886,7528,6120,338.40
275,24.09.2016,127.9,104.0,98.2,5.8,5130,6561,5334,294.97
276,25.09.2016,127.9,104.0,98.2,5.8,5057,6467,5258,290.59
277,26.09.2016,127.9,104.0,98.4,5.6,4201,5372,4368,235.60
278,27.09.2016,127.9,104.0,98.4,5.6,4770,6100,4960,267.40
279,28.09.2016,127.9,104.0,98.4,5.6,4967,6352,5164,278.52
280,29.09.2016,127.9,104.0,98.4,5.6,5935,7591,6171,332.84
281,30.09.2016,127.9,104.0,98.2,5.8,6266,8014,6515,360.22
282,01.10.2016,127.9,104.0,98.2,5.8,5695,7284,5922,327.34
283,02.10.2016,127.9,104.0,98.2,5.8,5620,7188,5844,323.01
284,03.10.2016,127.9,104.0,98.2,5.8,5073,6488,5275,291.66
285,04.10.2016,127.9,104.0,98.2,5.8,4956,6339,5154,284.93
286,05.10.2016,127.9,104.0,99.0,5.0,4504,5760,4683,224.18
287,06.10.2016,127.9,104.0,99.0,5.0,6055,7744,6296,301.38
288,07.10.2016,127.9,104.0,99.0,5.0,6760,8646,7029,336.60
289,08.10.2016,127.9,104.0,99.0,5.0,6179,7903,6425,307.74
290,09.10.2016,127.9,104.0,99.0,5.0,5167,6608,5372,257.22
291,10.10.2016,127.9,104.0,99.0,5.0,5469,6994,5686,272.14
292,11.10.2016,127.9,104.0,101.1,2.9,5063,6475,5264,145.67
293,12.10.2016,127.9,104.0,101.1,2.9,5401,6908,5616,155.39
294,13.10.2016,127.9,104.0,101.1,2.9,6054,7742,6295,174.30
295,14.10.2016,127.9,104.0,101.1,2.9,7323,9365,7614,210.82
296,15.10.2016,127.9,104.0,101.1,2.9,6365,8140,6618,183.28
297,16.10.2016,127.9,104.0,101.1,2.9,4991,6383,5189,143.59
298,17.10.2016,129.3,105.1,101.1,4.0,5311,6867,5583,213.01
299,18.10.2016,129.9,105.6,101.0,4.6,4878,6336,5151,226.50
300,19.10.2016,129.9,105.6,101.0,4.6,5626,7308,5941,261.25
301,20.10.2016,129.9,105.6,101.0,4.6,6509,8455,6874,302.31
302,21.10.2016,129.9,105.6,101.0,4.6,6376,8282,6733,296.10
303,22.10.2016,129.9,105.6,101.0,4.6,6525,8475,6890,303.12
304,23.10.2016,129.9,105.6,101.0,4.6,5336,6931,5635,247.82
305,24.10.2016,129.9,105.6,101.0,4.6,4916,6385,5191,224.84
306,25.10.2016,129.9,105.6,100.9,4.7,4780,6209,5048,223.40
307,26.10.2016,129.9,105.6,100.9,4.7,5340,6937,5640,249.57
308,27.10.2016,129.9,105.6,100.9,4.7,6382,8290,6740,298.38
309,28.10.2016,129.9,105.6,100.9,4.7,6320,8209,6674,295.49
310,29.10.2016,129.9,105.6,100.9,4.7,6126,7957,6469,286.43
311,30.10.2016,129.9,105.6,100.9,4.7,5798,7531,6123,271.10
312,31.10.2016,129.9,105.6,100.9,4.7,5536,7191,5846,258.83
313,01.11.2016,129.9,105.6,100.8,4.8,5783,7511,6107,277.72
314,02.11.2016,129.9,105.6,100.8,4.8,6020,7819,6357,289.22
315,03.11.2016,129.9,105.6,100.8,4.8,6398,8311,6757,307.45
316,04.11.2016,129.9,105.6,99.8,5.8,6295,8176,6647,367.78
317,05.11.2016,129.9,105.6,99.8,5.8,6421,8341,6781,375.37
318,06.11.2016,129.9,105.6,97.3,8.3,6344,8240,6699,524.27
319,07.11.2016,129.9,105.6,97.3,8.3,5208,6764,5500,430.34
320,09.11.2016,129.9,105.6,98.2,7.4,9653,12539,10194,711.90
321,10.11.2016,129.9,105.6,99.0,6.6,6473,8408,6835,427.00
322,11.11.2016,129.9,105.6,99.0,6.6,6741,8756,7119,444.55
323,12.11.2016,129.9,105.6,97.3,8.3,6821,8860,7203,563.84
324,13.11.2016,129.9,105.6,97.3,8.3,5657,7348,5974,467.54
325,14.11.2016,129.9,105.6,97.3,8.3,4714,6123,4978,389.53
326,15.11.2016,129.9,105.6,97.3,8.3,4924,6395,5200,406.90
327,16.11.2016,129.9,105.6,97.3,8.3,5776,7502,6100,477.31
328,17.11.2016,129.9,105.6,97.3,8.3,5967,7750,6301,493.13
329,18.11.2016,129.9,105.6,96.9,8.7,6590,8560,6960,573.69
330,19.11.2016,129.9,105.6,96.9,8.7,5359,6960,5659,466.43
331,20.11.2016,129.9,105.6,96.9,8.7,5751,7471,6074,500.73
332,21.11.2016,129.9,105.6,96.9,8.7,4799,6233,5067,417.64
333,22.11.2016,129.9,105.6,98.1,7.5,4938,6414,5214,371.99
334,23.11.2016,129.9,105.6,98.1,7.5,5343,6940,5642,402.49
335,24.11.2016,129.9,105.6,98.1,7.5,6444,8371,6806,485.63
336,25.11.2016,129.9,105.6,98.1,7.5,6621,8600,6992,498.79
337,26.11.2016,129.9,105.6,99.3,6.3,6009,7806,6346,379.48
338,27.11.2016,129.9,105.6,99.3,6.3,4951,6432,5229,312.64
339,28.11.2016,129.9,105.6,99.3,6.3,4875,6333,5148,307.84
340,29.11.2016,129.9,105.6,100.4,5.2,5102,6627,5388,267.10
341,30.11.2016,129.9,105.6,100.4,5.2,6293,8175,6646,329.34
342,01.12.2016,129.9,105.6,100.4,5.2,6460,8392,6822,338.20
343,02.12.2016,129.9,105.6,99.3,6.3,6213,8070,6561,394.72
344,03.12.2016,129.9,105.6,99.3,6.4,5072,6588,5356,322.36
345,04.12.2016,129.9,105.6,99.3,6.3,6173,8018,6519,392.26
346,05.12.2016,129.9,105.6,99.3,6.3,5592,7264,5905,355.23
347,06.12.2016,129.9,105.6,102.0,3.6,5188,6738,5478,184.87
348,07.12.2016,129.9,105.6,102.0,3.6,5106,6633,5392,182.00
349,08.12.2016,129.9,105.6,102.0,3.6,6237,8102,6587,222.39
350,09.12.2016,129.9,105.6,102.0,3.6,5539,7195,5849,197.44
351,10.12.2016,129.9,105.6,102.0,3.6,5386,6996,5688,192.03
352,11.12.2016,129.9,105.6,102.0,3.6,5241,6807,5534,186.82
353,12.12.2016,129.9,105.6,102.0,3.6,4672,6069,4934,169.84
354,13.12.2016,129.9,105.6,102.0,3.6,4882,6341,5155,177.41
355,14.12.2016,129.9,105.6,102.0,3.6,5628,7310,5943,204.47
356,15.12.2016,129.9,105.6,102.0,3.6,5992,7783,6328,217.78
357,16.12.2016,129.9,105.6,102.0,3.6,6375,8281,6732,231.75
358,17.12.2016,129.9,105.6,102.0,3.6,5995,7787,6331,217.90
359,18.12.2016,129.9,105.6,102.0,3.6,6452,8381,6814,234.47
360,19.12.2016,129.9,105.6,104.1,1.5,5602,7276,5915,84.87
361,20.12.2016,131.1,106.6,104.1,2.5,5826,7640,6211,147.23
362,21.12.2016,132.9,108.0,103.6,4.4,6775,9004,7321,300.16
363,22.12.2016,132.9,108.0,103.6,4.4,8180,10872,8839,362.49
364,23.12.2016,132.9,108.0,103.6,4.4,6421,8534,6938,284.50
365,24.12.2016,132.9,108.0,104.7,3.4,4721,6274,5101,159.04
366,25.12.2016,132.9,108.0,105.0,3.0,147,196,159,4.50
367,26.12.2016,132.9,108.0,105.0,3.0,2744,3647,2965,83.75
368,27.12.2016,132.9,108.0,105.0,3.0,4972,6608,5372,151.68
369,28.12.2016,132.9,108.0,105.0,3.0,4897,6509,5291,149.44
370,29.12.2016,132.9,108.0,105.0,3.0,4771,6340,5155,145.55
371,30.12.2016,132.9,108.0,105.0,3.0,4984,6624,5386,152.07
372,31.12.2016,132.9,108.0,103.6,4.4,4178,5553,4515,185.12
